ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6	
ID	Chủng tộc	Giai đoạn 0 Thiếu niên 1 Trưởng thành 2 Sự kiện lớn 	Giới tính 0 Bất kỳ 1 Nam 2 Nữ	Tên	Mô tả	Năm bắt đầu kích hoạt	Cảm nhận	Thể chất	Mị lực	Ngộ tính	Cơ duyên	Chiến đấu	Khí cảm	Xã giao (sau cấp kỹ năng có thể thêm ,X; X là mức yêu thích: 1 yêu thích, 2 say mê)	Y thuật	Nấu ăn	Xây dựng	Nông nghiệp	Khai thác	Nghệ thuật	Chế tạo	Đấu pháp	Đan Khí	Ngự Khí	Thuật Pháp	Hộ Thể	Đặc tính 1	Đặc tính 2	Đặc tính 3	Đặc tính 4	Đặc tính 5	Đặc tính 6	
10695423	Human	0	2	Hậu Nhân Nữ Oa	Nữ Oa tộc là hậu duệ nửa thần nửa phàm sinh ra sau khi Nữ Oa, một trong ba vị thần thượng cổ, bị giáng xuống nhân gian. Các đời hậu nhân Nữ Oa đều gánh vận mệnh nặng nề, đời đời xả thân vì Đạo và khó được thiện chung.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	LunHui_61	DeepPotential	0
10695424	Human	1	2	Ba Kiếp Truy Tầm	[NAME] là một nữ tử si tình, chấp nhất và kiên định với tình yêu. Nàng giấu tư tâm trong lòng, giằng co giữa tình yêu và số mệnh, nhiều lần bất chấp tất cả vì người mình yêu. Cả đời nàng chống lại định mệnh, nhưng cuối cùng vẫn bình thản chấp nhận thiên mệnh của Nữ Oa tộc: đem nội đan tu từ Thủy Linh Châu truyền cho Từ Trường Khanh giúp chàng thành tiên, rồi hiến mạng phong ấn Tỏa Yêu Tháp.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_34	Affinity	LunHui_12	LunHui_3	RunFast	0
10695425	Human	0	2	Quả Thần Thụ	[NAME] là nữ tử do Tịch Dao, người canh giữ Thần Thụ, lấy quả thần làm tim, cành lá làm thân và chính mình làm khuôn mẫu để tạo nên. Tịch Dao muốn nàng xuống nhân gian thay mình hoàn thành tâm nguyện, ở bên chuyển thế của Phi Bồng.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0
10695426	Human	1	2	Đại Tiểu Thư Đường Gia	Là cháu gái nuôi được Đường Khôn, chưởng môn Đường Môn, hết mực yêu thương, [NAME] tuy có tính tiểu thư ngang ngạnh và tùy hứng nhưng bản tính thiện lương, ngoài miệng sắc bén mà trong lòng mềm yếu.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0
10695427	Human	0	0	Thần Tướng Chuyển Thế	[NAME] là một trong những kiếp chuyển thế tại nhân gian của Phi Bồng, đại tướng mạnh nhất Thần Giới sau khi bị giáng xuống phàm trần.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
10695428	Human	1	0	Tiểu Nhị Hiệu Cầm Đồ	[NAME] không chỉ có thiên phú giám định đồ cổ châu báu mà còn tinh thông buôn bán, sổ sách; những món đồ từng qua tay đều có thể ghi nhớ không quên.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0
10695429	Human	1	2	Kiếm Linh Ma Kiếm	Để bảo vệ quốc gia, thái tử đúc Ma Kiếm; công chúa [NAME] lấy thân tế kiếm, nhảy vào lò đúc và trở thành hồn ma ký túc trong Ma Kiếm. Nàng theo Ma Kiếm lưu lạc hàng trăm năm, mong ngày được gặp lại người anh mình yêu quý.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
10695430	Human	0	2	Công Chúa Khương Quốc	Khương Quốc là một tiểu quốc nổi danh thiên hạ về dệt nhuộm và thêu thùa; [NAME] chính là công chúa của Khương Quốc.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	BeautifulFace2	YinBody	LunHui_12	LunHui_3	RunFast	0
10695431	Human	0	0	Nhân Yêu Lai Huyết	[NAME] là con trai út của Xích Viêm và Ti Đoạn. Sau khi cha mẹ bị Liêu Nhật ngộ sát, [IT] được Thường Kỷ đưa về Thục Sơn nuôi dưỡng như con ruột.	-1	3	1	0	4	0	11,2	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,1	5,2	0,0	0,0	0,0	DemonBlood	LunHui_2	LunHui_32				0
