ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	Zhen	F1	F2	F3	F4	F5	F6	IsCreat
ID	Chủng tộc	Giai đoạn 0 Thiếu niên 1 Trưởng thành 2 Sự kiện lớn 	Giới tính 0 Bất kỳ 1 Nam 2 Nữ	Tên	Mô tả	Năm bắt đầu kích hoạt	Cảm nhận	Thể chất	Mị lực	Ngộ tính	Cơ duyên	Chiến đấu	Khí cảm	Xã giao (sau cấp kỹ năng có thể thêm ,X; X là mức yêu thích: 1 yêu thích, 2 say mê)	Y thuật	Nấu ăn	Xây dựng	Nông nghiệp	Khai thác	Nghệ thuật	Chế tạo	Đấu pháp	Đan Khí	Ngự Khí	Thuật Pháp	Hộ Thể	Trận Pháp	Đặc tính 1	Đặc tính 2	Đặc tính 3	Đặc tính 4	Đặc tính 5	Đặc tính 6	
2022001	Human	1	0	Tửu Kiếm Tiên	[NAME] là tục gia đệ tử Thục Sơn Tiên Kiếm Phái, sau kế nhiệm chưởng môn và tự xưng Tửu Kiếm Tiên; tên thật đã không còn ai biết. Thiên phú võ học cực cao nhưngnghiện rượu như mạng, hành vi cuồng phóng, không câu nệ phép tắc. [NAME] tự sáng tạo tuyệt kỹ “Tửu Thần”, lấy rượu làm vui, thề nếm hết mỹ tửu thiên hạ và trảm hết yêu ma thế gian.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	LunHui_24	LunHui_30	LunHui_20	LunHui_41	YangBody	1
2022002	Human	1	0	Vô Trần Kiếm Tiên	Có thơ rằng: “Mắt tựa thu thủy, kiếm như lưu tinh; lấy thơ làm cốt, lấy ngọc làm thần. Bạch y phiêu dật giữa tầng mây, vì ai mà xem nhẹ cả sinh tử.” Thân thế [NAME] không ai biết, từ nhỏ được Tửu Kiếm Tiên đưa lên núi tu Đạo pháp Tiên Kiếm Phái. Thiên tư phi phàm, nội liễm tự giữ, phẩm hạnh đáng kính; ngoài lạnh trong nóng, tiên phong đạo cốt. Vì tâm không nhiễm bụi trần, tóc trắng như tuyết, áo trắng như mây nên Tam Giới gọi là Vô Trần Kiếm Tiên.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	Features_JingGuai_3	GoodMentality	LunHui_20	BaiFa	SonOfDestiny	1
2022003	Human	1	0	Ma Y Kiếm Tiên	[NAME] hào sảng hiệp nghĩa, thuở trẻ làm tiêu đầu, thường xuyên bôn ba nam bắc. Một lần áp tiêu gặp tà tu đồ sát thôn làng, [IT] ra tay cứu người nhưng không địch lại, trọng thương rồi dùng Quy Tức Pháp thoát chết, để lại vết sẹo dữ tợn. Sau trận ấy [NAME] quyết bái tiên môn học Đạo, không cầu thành tiên, chỉ cầu trừ ác vệ Đạo; vượt nhiều khảo nghiệm rồi gia nhập Thục Sơn Tiên Kiếm Phái. Vì thường mặc áo vải thô đội nón lá nên được gọi “Ma Y Kiếm Tiên”.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	Enthusiasm	LunHui_20	LunHui_41	LunHui_47	DragonBlood	1
2022004	Human	1	0	Huyền Phù Thiên Sư	Tiên Kiếm Phái nổi danh kiếm hiệp nhưng cũng có tu sĩ khác, [NAME] là một trong số đó. Từ nhỏ lên sơn môn, không thích học kiếm mà say mê Phù Pháp; nhờ thiên tư thông tuệ và khổ công nghiên cứu, một mình nâng Phù Đạo của Tiên Kiếm Phái lên nhiều bậc, gần sánh Long Hổ Sơn Thiên Sư Phủ, nên đệ tử trong môn gọi là “Tiểu Thiên Sư”.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	LunHui_55	LunHui_65	LunHui_43	HuaFuShi	SonOfDestiny	1
2022005	Human	1	0	Thiếu Chủ Quỷ Vương Tông	[NAME] là thiếu tông chủ Quỷ Vương Tông, một trong Tứ Đại Ma Giáo, là ái nữ của Quỷ Vương. Gia học uyên thâm, công pháp tuyệt diệu, dung mạo như tiên, linh khí bức người, kiến thức rộng, địa vị cực cao trong Ma Giáo.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	Cat_Elegant	SonOfDestiny	1
2022006	Human	1	0	Thủ Tọa Tiểu Trúc Phong	[NAME] dung nhan thanh tuyệt, bạch y phiêu dật, mang tiên kiếm xanh đứng trong gió. Nàng là kiệt xuất trong thế hệ đệ tử mới của Thanh Vân Môn, thiên tư tuyệt đỉnh, nhập môn năm năm đã đạt Ngọc Thanh tầng chín; tính tình thanh lãnh xuất trần, ít lời.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022007	Human	1	0	Diệu Công Tử	[NAME] xinh đẹp quyến rũ, mê hoặc lòng người nhưng nội tâm cứng cỏi, lanh lợi xảo quyệt, vì sinh tồn có thể không từ thủ đoạn. Giỏi Mị Tâm Thuật mê hoặc người khác nhưng chưa từng yêu bất kỳ nam tử nào.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_47	Optimistic	LunHui_48	1
2022008	Human	1	0	Tướng Sư Thanh Vân	[NAME] đáng yêu xinh đẹp, ngây thơ thiện lương, thích ăn hồ lô đường, có thiên phú kinh người về tướng thuật, sau được Quỷ Tiên Sinh truyền Quỷ Đạo Chi Thuật.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	HuaFuShi	LunHui_48	1
2022009	Human	1	0	Hộ Pháp Phích Lịch Đường	[NAME] là hộ pháp Phích Lịch Đường, một lòng muốn chấn hưng uy danh môn phái. Bề ngoài kiêu ngạo mạnh mẽ nhưng trong lòng cũng có nét dịu dàng; vì gánh trách nhiệm phục hưng nên thường kìm nén tình cảm.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_43	LianBaoShi	LunHui_63	1
